,Adelidae,Amegilla femorata?,Andrena,Anthidium sticticum,Apis melifera,Bibionidae,Bombyliidae,Coleoptera,Colletes,Lasioglossum,Megachilidae,Nomada,Oedemera lurida,Oedemera nobilis,Osmia,Oxythyrea funesta,Plagiolepsis pigmaea
Cistus albidus,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,3,0
Cistus monspeliensis,0,1,6,0,0,1,1,0,0,0,0,0,12,0,0,5,3
Cistus salvifolius,0,0,3,0,0,0,0,3,0,0,0,0,1,1,1,2,2
Dorichnium pentaphylum,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Lavandula stoechas,1,0,1,2,7,0,2,0,0,0,1,0,0,0,0,0,0
Linum sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rosmarinus officinalis,0,0,1,1,9,0,3,0,0,1,0,1,0,0,0,0,0
Sonchus tenerrinus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urospermum picrioides,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicea lutea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0