"","intera",".value",".lower",".upper",".width",".point",".interval","group1","group2","id"
"1","Bee.B - Bee.A",-0.202546426511424,-0.760400376698341,0.334652486772911,0.95,"mode","hdi","Bee.B","Bee.A","n.s."
"2","Bee.C - Bee.A",-0.158137414967306,-0.549232524345345,0.163788460499609,0.95,"mode","hdi","Bee.C","Bee.A","n.s."
"3","Bee.D - Bee.A",0.176804971293459,-0.269864134997245,0.630314932739598,0.95,"mode","hdi","Bee.D","Bee.A","n.s."
"4","Bee.E - Bee.A",-0.548898543236495,-1.04567678681413,-0.0327416690132988,0.95,"mode","hdi","Bee.E","Bee.A","sig***"
"5","Coleoptera.A - Bee.A",-0.39782708780233,-0.494442974194618,-0.30435810337572,0.95,"mode","hdi","Coleoptera.A","Bee.A","sig***"
"6","Coleoptera.B - Bee.A",-0.219776557939127,-0.801626242570815,0.301028262669071,0.95,"mode","hdi","Coleoptera.B","Bee.A","n.s."
"7","Coleoptera.C - Bee.A",-0.20503867198768,-0.573867052073883,0.130477653196706,0.95,"mode","hdi","Coleoptera.C","Bee.A","n.s."
"8","Coleoptera.D - Bee.A",0.0483581916637158,-0.438423967893319,0.486591777547268,0.95,"mode","hdi","Coleoptera.D","Bee.A","n.s."
"9","Coleoptera.E - Bee.A",-0.602640526348907,-1.20411599341069,0.0469081463012525,0.95,"mode","hdi","Coleoptera.E","Bee.A","n.s."
"10","Diptera.A - Bee.A",-0.247566903310505,-0.312514122670706,-0.167101028957904,0.95,"mode","hdi","Diptera.A","Bee.A","sig***"
"11","Diptera.B - Bee.A",-0.242554491475616,-0.811577174986882,0.278598822566293,0.95,"mode","hdi","Diptera.B","Bee.A","n.s."
"12","Diptera.C - Bee.A",-0.231289017010242,-0.61541979195733,0.094771327726737,0.95,"mode","hdi","Diptera.C","Bee.A","n.s."
"13","Diptera.D - Bee.A",0.0950285687532049,-0.346522850621848,0.55361600337144,0.95,"mode","hdi","Diptera.D","Bee.A","n.s."
"14","Diptera.E - Bee.A",-0.301260076757854,-0.736727982034491,0.248752010353583,0.95,"mode","hdi","Diptera.E","Bee.A","n.s."
"15","Hymenoptera.A - Bee.A",-0.273721714958114,-0.35523186012398,-0.180914237487895,0.95,"mode","hdi","Hymenoptera.A","Bee.A","sig***"
"16","Hymenoptera.B - Bee.A",-0.162108217182648,-0.740268676376356,0.350155297793275,0.95,"mode","hdi","Hymenoptera.B","Bee.A","n.s."
"17","Hymenoptera.C - Bee.A",-0.273807985320306,-0.652699178533271,0.0662183848235932,0.95,"mode","hdi","Hymenoptera.C","Bee.A","n.s."
"18","Hymenoptera.D - Bee.A",-0.107055585638885,-0.565207250168442,0.371374455871345,0.95,"mode","hdi","Hymenoptera.D","Bee.A","n.s."
"19","Hymenoptera.E - Bee.A",-0.462517767390849,-0.985686039073609,0.0350187038080065,0.95,"mode","hdi","Hymenoptera.E","Bee.A","n.s."
"20","Lepidoptera.A - Bee.A",-0.38425030933729,-0.473226498491174,-0.291638446936593,0.95,"mode","hdi","Lepidoptera.A","Bee.A","sig***"
"21","Lepidoptera.B - Bee.A",-0.139293368777627,-0.728552429221556,0.385689334033184,0.95,"mode","hdi","Lepidoptera.B","Bee.A","n.s."
"22","Lepidoptera.C - Bee.A",-0.253811774437478,-0.611849472673587,0.10287196588868,0.95,"mode","hdi","Lepidoptera.C","Bee.A","n.s."
"23","Lepidoptera.D - Bee.A",-0.0616881715932435,-0.510469976920748,0.405471099841123,0.95,"mode","hdi","Lepidoptera.D","Bee.A","n.s."
"24","Lepidoptera.E - Bee.A",-0.366870337946947,-0.869370691003468,0.135226468612602,0.95,"mode","hdi","Lepidoptera.E","Bee.A","n.s."
"25","Syrphidae.A - Bee.A",-0.339013273652533,-0.427651512041671,-0.250241423629816,0.95,"mode","hdi","Syrphidae.A","Bee.A","sig***"
"26","Syrphidae.B - Bee.A",-0.118519631517931,-0.598057587952175,0.518315172519763,0.95,"mode","hdi","Syrphidae.B","Bee.A","n.s."
"27","Syrphidae.C - Bee.A",-0.088691390259379,-0.460760124085583,0.251557247296669,0.95,"mode","hdi","Syrphidae.C","Bee.A","n.s."
"28","Syrphidae.D - Bee.A",0.212745481491035,-0.272119506024938,0.629764473679204,0.95,"mode","hdi","Syrphidae.D","Bee.A","n.s."
"29","Syrphidae.E - Bee.A",0.105122733841806,-0.389589407775829,0.675809194437338,0.95,"mode","hdi","Syrphidae.E","Bee.A","n.s."
"30","Bee.C - Bee.B",0.0300749089175105,-0.43345622582483,0.529648427111699,0.95,"mode","hdi","Bee.C","Bee.B","n.s."
"31","Bee.D - Bee.B",0.375356500445526,-0.172110423759524,0.937428563975173,0.95,"mode","hdi","Bee.D","Bee.B","n.s."
"32","Bee.E - Bee.B",-0.264088143548157,-0.860355832249983,0.268537543935121,0.95,"mode","hdi","Bee.E","Bee.B","n.s."
"33","Coleoptera.A - Bee.B",-0.177337036725261,-0.72708126226171,0.377543936696442,0.95,"mode","hdi","Coleoptera.A","Bee.B","n.s."
"34","Coleoptera.B - Bee.B",-0.0169682549212192,-0.155498384111089,0.102069162475026,0.95,"mode","hdi","Coleoptera.B","Bee.B","n.s."
"35","Coleoptera.C - Bee.B",-0.026961344680684,-0.477390592113895,0.488705543575708,0.95,"mode","hdi","Coleoptera.C","Bee.B","n.s."
"36","Coleoptera.D - Bee.B",0.257375399746992,-0.320709682556922,0.813512658443087,0.95,"mode","hdi","Coleoptera.D","Bee.B","n.s."
"37","Coleoptera.E - Bee.B",-0.390479263055099,-1.05177870657998,0.273893182958174,0.95,"mode","hdi","Coleoptera.E","Bee.B","n.s."
"38","Diptera.A - Bee.B",-0.0404832115625839,-0.575286086144487,0.533597446786834,0.95,"mode","hdi","Diptera.A","Bee.B","n.s."
"39","Diptera.B - Bee.B",-0.0507062746146973,-0.152419286351218,0.0470349203604606,0.95,"mode","hdi","Diptera.B","Bee.B","n.s."
"40","Diptera.C - Bee.B",-0.0498766667165513,-0.500619360315161,0.4565836856783,0.95,"mode","hdi","Diptera.C","Bee.B","n.s."
"41","Diptera.D - Bee.B",0.260074683308952,-0.26210072668983,0.85473558694009,0.95,"mode","hdi","Diptera.D","Bee.B","n.s."
"42","Diptera.E - Bee.B",-0.0377748535116096,-0.572680347180688,0.523702834286159,0.95,"mode","hdi","Diptera.E","Bee.B","n.s."
"43","Hymenoptera.A - Bee.B",-0.0645338367149693,-0.607766903263631,0.503071636330484,0.95,"mode","hdi","Hymenoptera.A","Bee.B","n.s."
"44","Hymenoptera.B - Bee.B",0.0322508863911839,-0.092168807030335,0.140147184942698,0.95,"mode","hdi","Hymenoptera.B","Bee.B","n.s."
"45","Hymenoptera.C - Bee.B",-0.0893792050957201,-0.546281780646201,0.420559125954289,0.95,"mode","hdi","Hymenoptera.C","Bee.B","n.s."
"46","Hymenoptera.D - Bee.B",0.139744071130904,-0.436655133296613,0.701051606573634,0.95,"mode","hdi","Hymenoptera.D","Bee.B","n.s."
"47","Hymenoptera.E - Bee.B",-0.25905226993576,-0.778178720354224,0.361455428897727,0.95,"mode","hdi","Hymenoptera.E","Bee.B","n.s."
"48","Lepidoptera.A - Bee.B",-0.16609156031814,-0.716944132626706,0.387031258204982,0.95,"mode","hdi","Lepidoptera.A","Bee.B","n.s."
"49","Lepidoptera.B - Bee.B",0.0633565033222871,-0.0693167125634759,0.217367308125431,0.95,"mode","hdi","Lepidoptera.B","Bee.B","n.s."
"50","Lepidoptera.C - Bee.B",-0.00563761608386559,-0.516969270261358,0.447227159771515,0.95,"mode","hdi","Lepidoptera.C","Bee.B","n.s."
"51","Lepidoptera.D - Bee.B",0.118400467509186,-0.420420924546939,0.692198152720231,0.95,"mode","hdi","Lepidoptera.D","Bee.B","n.s."
"52","Lepidoptera.E - Bee.B",-0.118735243001036,-0.667000691808652,0.451545729544738,0.95,"mode","hdi","Lepidoptera.E","Bee.B","n.s."
"53","Syrphidae.A - Bee.B",-0.117135444186635,-0.661335367920239,0.440435587701448,0.95,"mode","hdi","Syrphidae.A","Bee.B","n.s."
"54","Syrphidae.B - Bee.B",0.141913546132693,-0.00779736482650017,0.319131541109664,0.95,"mode","hdi","Syrphidae.B","Bee.B","n.s."
"55","Syrphidae.C - Bee.B",0.110565202675885,-0.395408489616387,0.567134264508137,0.95,"mode","hdi","Syrphidae.C","Bee.B","n.s."
"56","Syrphidae.D - Bee.B",0.397609582034527,-0.133224775377373,0.988097200810452,0.95,"mode","hdi","Syrphidae.D","Bee.B","n.s."
"57","Syrphidae.E - Bee.B",0.367235331447361,-0.191183941841401,0.960429696976161,0.95,"mode","hdi","Syrphidae.E","Bee.B","n.s."
"58","Bee.D - Bee.C",0.32324758925409,-0.00514039012861311,0.713261587430054,0.95,"mode","hdi","Bee.D","Bee.C","n.s."
"59","Bee.E - Bee.C",-0.357423157986605,-0.768034829522154,0.0947334178566958,0.95,"mode","hdi","Bee.E","Bee.C","n.s."
"60","Coleoptera.A - Bee.C",-0.223477620912057,-0.570363069958724,0.149538296326197,0.95,"mode","hdi","Coleoptera.A","Bee.C","n.s."
"61","Coleoptera.B - Bee.C",-0.0119015422834537,-0.554994819377583,0.427536840141732,0.95,"mode","hdi","Coleoptera.B","Bee.C","n.s."
"62","Coleoptera.C - Bee.C",-0.0454009238233855,-0.0885816974907501,0.000800269502213569,0.95,"mode","hdi","Coleoptera.C","Bee.C","n.s."
"63","Coleoptera.D - Bee.C",0.216766239769145,-0.167807508417082,0.597161902691723,0.95,"mode","hdi","Coleoptera.D","Bee.C","n.s."
"64","Coleoptera.E - Bee.C",-0.403258684965546,-0.98391006179084,0.192623479681768,0.95,"mode","hdi","Coleoptera.E","Bee.C","n.s."
"65","Diptera.A - Bee.C",-0.046567350270259,-0.421347848081877,0.287454758341251,0.95,"mode","hdi","Diptera.A","Bee.C","n.s."
"66","Diptera.B - Bee.C",-0.058612310973158,-0.573524397899114,0.391972303566772,0.95,"mode","hdi","Diptera.B","Bee.C","n.s."
"67","Diptera.C - Bee.C",-0.0677614084153392,-0.1095490274156,-0.0296356211618979,0.95,"mode","hdi","Diptera.C","Bee.C","sig***"
"68","Diptera.D - Bee.C",0.261343576118491,-0.125113554342833,0.609406067509343,0.95,"mode","hdi","Diptera.D","Bee.C","n.s."
"69","Diptera.E - Bee.C",-0.107399258143522,-0.494287889497104,0.352761842174274,0.95,"mode","hdi","Diptera.E","Bee.C","n.s."
"70","Hymenoptera.A - Bee.C",-0.085843304755579,-0.453208549108199,0.269203481956034,0.95,"mode","hdi","Hymenoptera.A","Bee.C","n.s."
"71","Hymenoptera.B - Bee.C",-0.0114849730546707,-0.487315450584463,0.487345783676704,0.95,"mode","hdi","Hymenoptera.B","Bee.C","n.s."
"72","Hymenoptera.C - Bee.C",-0.115595127718078,-0.157480846470593,-0.0624635125531874,0.95,"mode","hdi","Hymenoptera.C","Bee.C","sig***"
"73","Hymenoptera.D - Bee.C",0.0959484319018123,-0.27848402538473,0.486362511367211,0.95,"mode","hdi","Hymenoptera.D","Bee.C","n.s."
"74","Hymenoptera.E - Bee.C",-0.308807123228792,-0.715532736539241,0.177684430219431,0.95,"mode","hdi","Hymenoptera.E","Bee.C","n.s."
"75","Lepidoptera.A - Bee.C",-0.242316868852389,-0.566469745577173,0.145397706560327,0.95,"mode","hdi","Lepidoptera.A","Bee.C","n.s."
"76","Lepidoptera.B - Bee.C",-0.00613277666884238,-0.472466703081369,0.501296482673661,0.95,"mode","hdi","Lepidoptera.B","Bee.C","n.s."
"77","Lepidoptera.C - Bee.C",-0.0894189182742597,-0.142972528259962,-0.0382702296164812,0.95,"mode","hdi","Lepidoptera.C","Bee.C","sig***"
"78","Lepidoptera.D - Bee.C",0.0790318891460217,-0.267453125260913,0.459535069019165,0.95,"mode","hdi","Lepidoptera.D","Bee.C","n.s."
"79","Lepidoptera.E - Bee.C",-0.187353849740084,-0.6013204168723,0.258910768770491,0.95,"mode","hdi","Lepidoptera.E","Bee.C","n.s."
"80","Syrphidae.A - Bee.C",-0.149468911338677,-0.526966321892047,0.18612057064232,0.95,"mode","hdi","Syrphidae.A","Bee.C","n.s."
"81","Syrphidae.B - Bee.C",0.0866019879433554,-0.389316192465233,0.601779135546226,0.95,"mode","hdi","Syrphidae.B","Bee.C","n.s."
"82","Syrphidae.C - Bee.C",0.072619660126079,0.0266693142477658,0.113889408955715,0.95,"mode","hdi","Syrphidae.C","Bee.C","sig***"
"83","Syrphidae.D - Bee.C",0.341352837874147,0.00599489977798606,0.729426523672427,0.95,"mode","hdi","Syrphidae.D","Bee.C","sig***"
"84","Syrphidae.E - Bee.C",0.289407033790043,-0.138122343939268,0.783209216865221,0.95,"mode","hdi","Syrphidae.E","Bee.C","n.s."
"85","Bee.E - Bee.D",-0.68039165812978,-1.23489890005531,-0.181598761868422,0.95,"mode","hdi","Bee.E","Bee.D","sig***"
"86","Coleoptera.A - Bee.D",-0.587068637793679,-1.0242574701814,-0.127366923895706,0.95,"mode","hdi","Coleoptera.A","Bee.D","sig***"
"87","Coleoptera.B - Bee.D",-0.380551750232068,-1.00361975647044,0.136687903344107,0.95,"mode","hdi","Coleoptera.B","Bee.D","n.s."
"88","Coleoptera.C - Bee.D",-0.380785044758476,-0.763386945245038,-0.0364735371741545,0.95,"mode","hdi","Coleoptera.C","Bee.D","sig***"
"89","Coleoptera.D - Bee.D",-0.1360640389687,-0.267318800877503,-0.00208021091726573,0.95,"mode","hdi","Coleoptera.D","Bee.D","sig***"
"90","Coleoptera.E - Bee.D",-0.76175456671759,-1.36782593818109,-0.0585640086396166,0.95,"mode","hdi","Coleoptera.E","Bee.D","sig***"
"91","Diptera.A - Bee.D",-0.432964684832256,-0.861413047431312,0.0276357664929903,0.95,"mode","hdi","Diptera.A","Bee.D","n.s."
"92","Diptera.B - Bee.D",-0.417029437996002,-1.01526027092313,0.0954997040975958,0.95,"mode","hdi","Diptera.B","Bee.D","n.s."
"93","Diptera.C - Bee.D",-0.394917124654194,-0.779683416602134,-0.0562587319942558,0.95,"mode","hdi","Diptera.C","Bee.D","sig***"
"94","Diptera.D - Bee.D",-0.0866616820729722,-0.18029380216282,0.00430063909171352,0.95,"mode","hdi","Diptera.D","Bee.D","n.s."
"95","Diptera.E - Bee.D",-0.395235172142971,-0.897871707749625,0.139463876951829,0.95,"mode","hdi","Diptera.E","Bee.D","n.s."
"96","Hymenoptera.A - Bee.D",-0.49001327583813,-0.880437355605977,0.0242073811597192,0.95,"mode","hdi","Hymenoptera.A","Bee.D","n.s."
"97","Hymenoptera.B - Bee.D",-0.329184179610907,-0.942685245147597,0.173778497885841,0.95,"mode","hdi","Hymenoptera.B","Bee.D","n.s."
"98","Hymenoptera.C - Bee.D",-0.431553732192072,-0.83866437034986,-0.111185684044894,0.95,"mode","hdi","Hymenoptera.C","Bee.D","sig***"
"99","Hymenoptera.D - Bee.D",-0.238683801172943,-0.402945856809472,-0.103899066618334,0.95,"mode","hdi","Hymenoptera.D","Bee.D","sig***"
"100","Hymenoptera.E - Bee.D",-0.6525304939387,-1.1688359624059,-0.0915222277624858,0.95,"mode","hdi","Hymenoptera.E","Bee.D","sig***"
"101","Lepidoptera.A - Bee.D",-0.58042570406233,-1.00063350339657,-0.102167348286519,0.95,"mode","hdi","Lepidoptera.A","Bee.D","sig***"
"102","Lepidoptera.B - Bee.D",-0.310281384734863,-0.901779718760175,0.235554215723614,0.95,"mode","hdi","Lepidoptera.B","Bee.D","n.s."
"103","Lepidoptera.C - Bee.D",-0.416704350204589,-0.795368905076024,-0.0677678161855539,0.95,"mode","hdi","Lepidoptera.C","Bee.D","sig***"
"104","Lepidoptera.D - Bee.D",-0.247952595562103,-0.355274653861194,-0.1451222469256,0.95,"mode","hdi","Lepidoptera.D","Bee.D","sig***"
"105","Lepidoptera.E - Bee.D",-0.530414292125948,-1.02755347125792,0.0228006089545665,0.95,"mode","hdi","Lepidoptera.E","Bee.D","n.s."
"106","Syrphidae.A - Bee.D",-0.504941663709976,-0.968395806895793,-0.0731892418817743,0.95,"mode","hdi","Syrphidae.A","Bee.D","sig***"
"107","Syrphidae.B - Bee.D",-0.161390313312033,-0.832547352808861,0.303919060888491,0.95,"mode","hdi","Syrphidae.B","Bee.D","n.s."
"108","Syrphidae.C - Bee.D",-0.253326221070926,-0.646515623587126,0.0794426356795135,0.95,"mode","hdi","Syrphidae.C","Bee.D","n.s."
"109","Syrphidae.D - Bee.D",0.0209984040204337,-0.0625713805238718,0.108512348166742,0.95,"mode","hdi","Syrphidae.D","Bee.D","n.s."
"110","Syrphidae.E - Bee.D",-0.0219541951637783,-0.557616301187905,0.529633109490158,0.95,"mode","hdi","Syrphidae.E","Bee.D","n.s."
"111","Coleoptera.A - Bee.E",0.108721696470803,-0.413534998762539,0.604660196030716,0.95,"mode","hdi","Coleoptera.A","Bee.E","n.s."
"112","Coleoptera.B - Bee.E",0.213185242684669,-0.261370948407554,0.870582015699274,0.95,"mode","hdi","Coleoptera.B","Bee.E","n.s."
"113","Coleoptera.C - Bee.E",0.30638389853695,-0.13010945145872,0.731934061111619,0.95,"mode","hdi","Coleoptera.C","Bee.E","n.s."
"114","Coleoptera.D - Bee.E",0.577048963885208,0.0223001337996456,1.10996745134679,0.95,"mode","hdi","Coleoptera.D","Bee.E","sig***"
"115","Coleoptera.E - Bee.E",-0.0591203152198861,-0.465563385905714,0.398623648182419,0.95,"mode","hdi","Coleoptera.E","Bee.E","n.s."
"116","Diptera.A - Bee.E",0.325489593111287,-0.209647952154466,0.801355194518128,0.95,"mode","hdi","Diptera.A","Bee.E","n.s."
"117","Diptera.B - Bee.E",0.208180524908753,-0.298239894435655,0.820295771024978,0.95,"mode","hdi","Diptera.B","Bee.E","n.s."
"118","Diptera.C - Bee.E",0.281918914990919,-0.141810063831523,0.720962212657678,0.95,"mode","hdi","Diptera.C","Bee.E","n.s."
"119","Diptera.D - Bee.E",0.615420874788589,0.0919423209445197,1.14380438365173,0.95,"mode","hdi","Diptera.D","Bee.E","sig***"
"120","Diptera.E - Bee.E",0.291814521098572,0.14234901905434,0.434108382315856,0.95,"mode","hdi","Diptera.E","Bee.E","sig***"
"121","Hymenoptera.A - Bee.E",0.283959669642015,-0.256109012113839,0.752910149885711,0.95,"mode","hdi","Hymenoptera.A","Bee.E","n.s."
"122","Hymenoptera.B - Bee.E",0.428905754212184,-0.221128778612951,0.911729372605095,0.95,"mode","hdi","Hymenoptera.B","Bee.E","n.s."
"123","Hymenoptera.C - Bee.E",0.255966238727969,-0.183617171546438,0.684259736050468,0.95,"mode","hdi","Hymenoptera.C","Bee.E","n.s."
"124","Hymenoptera.D - Bee.E",0.509632147357196,-0.0765961277062384,1.02098683113125,0.95,"mode","hdi","Hymenoptera.D","Bee.E","n.s."
"125","Hymenoptera.E - Bee.E",0.0934334193081175,-0.118891740563987,0.273370828404545,0.95,"mode","hdi","Hymenoptera.E","Bee.E","n.s."
"126","Lepidoptera.A - Bee.E",0.161252743665946,-0.375165373802244,0.626999193964132,0.95,"mode","hdi","Lepidoptera.A","Bee.E","n.s."
"127","Lepidoptera.B - Bee.E",0.367907181595152,-0.185357013946017,0.966676395043024,0.95,"mode","hdi","Lepidoptera.B","Bee.E","n.s."
"128","Lepidoptera.C - Bee.E",0.267760970987587,-0.176329347931581,0.677670686291078,0.95,"mode","hdi","Lepidoptera.C","Bee.E","n.s."
"129","Lepidoptera.D - Bee.E",0.456339774769258,-0.0726782448901702,0.991678900290506,0.95,"mode","hdi","Lepidoptera.D","Bee.E","n.s."
"130","Lepidoptera.E - Bee.E",0.187533119778716,0.0289833388071283,0.3551110471879,0.95,"mode","hdi","Lepidoptera.E","Bee.E","sig***"
"131","Syrphidae.A - Bee.E",0.219080851202214,-0.282223991786996,0.736104236411775,0.95,"mode","hdi","Syrphidae.A","Bee.E","n.s."
"132","Syrphidae.B - Bee.E",0.447057751175187,-0.114091823781604,1.04629397010066,0.95,"mode","hdi","Syrphidae.B","Bee.E","n.s."
"133","Syrphidae.C - Bee.E",0.424517386652036,-0.00373604443848374,0.856896000859382,0.95,"mode","hdi","Syrphidae.C","Bee.E","n.s."
"134","Syrphidae.D - Bee.E",0.688641260545124,0.197813950580098,1.25488173372071,0.95,"mode","hdi","Syrphidae.D","Bee.E","sig***"
"135","Syrphidae.E - Bee.E",0.67901854838046,0.45205821602862,0.925886216991984,0.95,"mode","hdi","Syrphidae.E","Bee.E","sig***"
"136","Coleoptera.B - Coleoptera.A",0.203633207920615,-0.409553492315982,0.695985249666999,0.95,"mode","hdi","Coleoptera.B","Coleoptera.A","n.s."
"137","Coleoptera.C - Coleoptera.A",0.226548393051036,-0.18035122564405,0.532820976650922,0.95,"mode","hdi","Coleoptera.C","Coleoptera.A","n.s."
"138","Coleoptera.D - Coleoptera.A",0.438338538789854,0.00154867099888201,0.934031254209288,0.95,"mode","hdi","Coleoptera.D","Coleoptera.A","sig***"
"139","Coleoptera.E - Coleoptera.A",-0.232995436735895,-0.79095109308204,0.468988849625443,0.95,"mode","hdi","Coleoptera.E","Coleoptera.A","n.s."
"140","Diptera.A - Coleoptera.A",0.156722696325697,0.0745318772041308,0.247243308641706,0.95,"mode","hdi","Diptera.A","Coleoptera.A","sig***"
"141","Diptera.B - Coleoptera.A",0.146748815268191,-0.396487581535136,0.707821683105789,0.95,"mode","hdi","Diptera.B","Coleoptera.A","n.s."
"142","Diptera.C - Coleoptera.A",0.171396330943247,-0.20831874549183,0.503011586430664,0.95,"mode","hdi","Diptera.C","Coleoptera.A","n.s."
"143","Diptera.D - Coleoptera.A",0.499077081922112,0.035764995874646,0.942128952487841,0.95,"mode","hdi","Diptera.D","Coleoptera.A","sig***"
"144","Diptera.E - Coleoptera.A",0.0885929432964452,-0.352109614965363,0.644977782390152,0.95,"mode","hdi","Diptera.E","Coleoptera.A","n.s."
"145","Hymenoptera.A - Coleoptera.A",0.121594959973523,0.019951516462194,0.22988539815926,0.95,"mode","hdi","Hymenoptera.A","Coleoptera.A","sig***"
"146","Hymenoptera.B - Coleoptera.A",0.201074603338938,-0.305671064713197,0.806361278585948,0.95,"mode","hdi","Hymenoptera.B","Coleoptera.A","n.s."
"147","Hymenoptera.C - Coleoptera.A",0.13580567960586,-0.263910329086822,0.455550578402322,0.95,"mode","hdi","Hymenoptera.C","Coleoptera.A","n.s."
"148","Hymenoptera.D - Coleoptera.A",0.291278454230506,-0.137728272307363,0.809956500742674,0.95,"mode","hdi","Hymenoptera.D","Coleoptera.A","n.s."
"149","Hymenoptera.E - Coleoptera.A",-0.0732957246497397,-0.544516180650343,0.491118373304071,0.95,"mode","hdi","Hymenoptera.E","Coleoptera.A","n.s."
"150","Lepidoptera.A - Coleoptera.A",0.0123757218214384,-0.0905696565401541,0.115450959812119,0.95,"mode","hdi","Lepidoptera.A","Coleoptera.A","n.s."
"151","Lepidoptera.B - Coleoptera.A",0.298353317493281,-0.33035419855461,0.793558481115094,0.95,"mode","hdi","Lepidoptera.B","Coleoptera.A","n.s."
"152","Lepidoptera.C - Coleoptera.A",0.125624008840823,-0.236177523008173,0.476864249337619,0.95,"mode","hdi","Lepidoptera.C","Coleoptera.A","n.s."
"153","Lepidoptera.D - Coleoptera.A",0.318525944814785,-0.122951627248749,0.78826224976764,0.95,"mode","hdi","Lepidoptera.D","Coleoptera.A","n.s."
