,db,query,family,order,Genus,note
2,ncbi,2167,NA,NA,Unidentified,
12,ncbi,1543,Andrenidae,Hymenoptera,Panur,Panurgus
14,ncbi,2201,Colletidae,Hymenoptera,Xanthocolletes,
16,ncbi,1054,Vespidae,Hymenoptera,Hypodynerus,
17,ncbi,1207,Bombyliidae,Diptera,Lyophlaeba,
18,ncbi,1884,Tachinidae,Diptera,Ruiziella,
19,ncbi,2158,Bombyliidae,Diptera,Truphloechus,
22,ncbi,405,Tachinidae,Diptera,Chaetodemoticus,
23,ncbi,826,Nemistrinidae,Diptera,Euryglostromyia,
24,ncbi,936,Syrphidae,Diptera,Habromyia,
26,ncbi,1178,Megachilidae,Hymenoptera,Lithurgomma,
30,ncbi,1972,Tachinidae,Diptera,Spathipalpus,
32,ncbi,105,Lycaenidae,Lepidoptera,Andinus,
38,ncbi,537,Halictidae,Hymenoptera,Corynurus,
40,ncbi,628,Halictidae,Hymenoptera,Dialictus,
43,ncbi,974,Colletidae,Hymenoptera,Hemicolletes,
47,ncbi,1761,Tachinidae,Diptera,Prosopochaeta,
51,ncbi,2186,Bombyliidae,Diptera,Vibrissomyia,
52,ncbi,889,Vespidae,Hymenoptera,Gayella,
53,ncbi,198,Tachinidae,Diptera,Ateloglutus,
58,ncbi,847,Halictidae,Hymenoptera,Evylaeus,
64,ncbi,353,Syrphidae,Diptera,Carposcalis,
68,ncbi,684,Bombyliidae,Diptera,Eclimus,
69,ncbi,2154,Syrphidae,Diptera,Tropidia,
70,ncbi,1500,Syrphidae,Diptera,Orthoneura,
75,ncbi,38,Elateridae,Coleoptera,Agiotes,
84,ncbi,1258,Syrphidae,Diptera,Melagyna,
88,ncbi,2233,Formicidae,Hymenoptera,Zeraea,
89,ncbi,12,Cerambycidae,Coleoptera,Acmaeopsoides,
92,ncbi,356,Kateretidae,Coleoptera,Cateres,Kateretes pennatus
94,ncbi,733,Ephemerellidae,Ephemeroptera,Ephemerella,
95,ncbi,757,Anthomyiidae,Diptera,Eremomyioides,
97,ncbi,818,Hesperiidae,Lepidoptera,Eupyses,
107,ncbi,1681,Pieridae,Lepidoptera,Pieris,
109,ncbi,1817,Apidae,Hymenoptera,Psithyrus,
110,ncbi,1840,Syrphidae,Diptera,Pyrophaena,
117,ncbi,485,Apidae,Hymenoptera,Clisodon,
118,ncbi,1341,Megachilidae,Hymenoptera,Monumetha,
122,ncbi,2092,Hesperiidae,Lepidoptera,Thanaos,
131,ncbi,109,Megachilidae,Hymenoptera,Andronicus,Hoplitis
133,ncbi,211,Hesperiidae,Lepidoptera,Atrytone,
135,ncbi,269,Apidae,Hymenoptera,Bombomelecta,
137,ncbi,439,Nymphalidae,Lepidoptera,Chionobis,Synonym Oeneis
138,ncbi,472,Lycaenidae,Lepidoptera,Chrysophanus,Synonym Satyrium
141,ncbi,683,Tachinidae,Diptera,Echinomyia,Synonym Tachina
152,ncbi,365,Sphingidae,Lepidoptera,Celerio,Synonym Hyles
163,ncbi,1735,Pompilidae,Hymenoptera,Pompiloides,
164,ncbi,1835,Nymphalidae,Lepidoptera,Pyrameis,Synonym Vanessa
165,ncbi,2077,Tenthredinidae,Hymenoptera,Tenthredella,Synonym Tenthredo
167,ncbi,2117,Megachilidae,Hymenoptera,Titusella,Synonym Ashmeadiella
168,ncbi,33,Braconidae,Hymenoptera,Agathis,
177,ncbi,369,NA,NA,Cenis,NA
178,ncbi,383,NA,NA,Cerastomia,NA
179,ncbi,438,Syrphidae,Diptera,Chilosia,Synonym Cheilosia
180,ncbi,468,Syrphidae,Diptera,Chrysogsater,Chrysogaster
182,ncbi,574,NA,NA,Curtipogon,NA
183,ncbi,685,Sphecidae,Hymenoptera,Ectemius,
184,ncbi,706,NA,NA,Eliphilus,NA
186,ncbi,767,NA,NA,Erizoa,NA
188,ncbi,869,Gasteruptiidae,Hymenoptera,Foenus,
191,ncbi,915,Chrysididae,Hymenoptera,Gonochrysis,
192,ncbi,928,NA,NA,Grapta,Allographta?
193,ncbi,943,NA,NA,Halicyoides,NA
194,ncbi,986,Syrphidae,Diptera,Heringia,
195,ncbi,1042,Sphingidae,Lepidoptera,Hyloicus,Synonym Sphinx
197,ncbi,1176,Mycetophagidae,Coleoptera,Lithargus,
200,ncbi,1313,Syrphidae,Diptera,Microdon,
212,ncbi,1769,Sphingidae,Lepidoptera,Protoparce,Synonym Manduca
213,ncbi,1774,Crabronidae,Hymenoptera,Protothyreopus,Synonym Ectemnius
214,ncbi,1780,NA,NA,Psammophila,NA
215,ncbi,1803,NA,Hymenoptera,Pseudomelecta,Subgenus Melecta
217,ncbi,1904,NA,NA,Scaba,NA
218,ncbi,1969,Crabronidae,Hymenoptera,Solenius,
219,ncbi,1973,Syrphidae,Diptera,Specomyia,
220,ncbi,1974,Syrphidae,Diptera,Spegina,Sphegina
222,ncbi,2006,Argidae,Hymenoptera,Sterictophora,
225,ncbi,2083,Chrysididae ,Hymenoptera,Tetrachrysis,
227,ncbi,2100,NA,NA,Theventimtia,NA
230,ncbi,2139,Muscidae,Diptera,Trichopticus,
239,ncbi,144,Anthomyiidae,Diptera,Anthomyidae,
241,ncbi,1129,Syrphidae,Diptera,Lejogaster,
247,ncbi,1316,NA,Lepidoptera,Micromoth,NA
255,ncbi,760,Tachinidae,Diptera,Eriothrix,
256,ncbi,1896,Sarcophagidae ,Diptera,Sarcophagus,
258,ncbi,126,NA,NA,Anosymia,NA
272,ncbi,1537,Noctuidae,Lepidoptera,Panameria,
273,ncbi,101,Bombyliidae,Diptera,Anastoechus,
275,ncbi,898,Bombyliidae,Diptera,Geron,
277,ncbi,1036,Colletidae,Hymenoptera,Hyleaus,Hylaeus
279,ncbi,375,Mythicomyiidae,Diptera,Cephalodromia,
284,ncbi,1194,Calliphoridae,Diptera,Lucilia,
285,ncbi,1218,Sphingidae,Lepidoptera,Macroglossum,
288,ncbi,622,Tiphiidae,Hymenoptera,Dermasothes,
289,ncbi,674,Drosophilidae,Diptera,Drosophila,
290,ncbi,1136,Vespidae,Hymenoptera,Leptochilus,
299,ncbi,453,Chloropidae,Diptera,Chloropinae,
303,ncbi,1411,Noctuidae,Lepidoptera,Noctuidae,
311,ncbi,1156,Limnephilidae,Trichoptera,Limnophilus,
314,ncbi,1827,Pteromalidae,Hymenoptera,Pteromalidae,
315,ncbi,2171,Hesperiidae,Lepidoptera,Urbicola,NA
316,ncbi,2214,Pteromalidae,Hymenoptera,Xestommaster,
320,ncbi,1494,Ichneumonidae,Hymenoptera,Orthocentrinae,
322,ncbi,1987,Muscidae,Diptera,Spilagona,
324,ncbi,3,Chironomidae,Diptera,Acamptocladius,
327,ncbi,73,Braconidae,Hymenoptera,Alysiinae,
329,ncbi,146,Anthomyiidae,Diptera,Anthomyiidae,
330,ncbi,243,Calliphoridae,Diptera,Bellardia,
341,ncbi,1062,Ichneumonidae,Hymenoptera,Ichneumonidae,
344,ncbi,1666,Limoniidae,Diptera,Phyllolabis,
348,ncbi,1740,Ichneumonidae,Hymenoptera,Porizontini,
353,ncbi,2088,Eulophidae,Hymenoptera,Tetrastichinae,
378,ncbi,1703,Lycaenidae,Lepidoptera,Plebeius,Plebejus
386,ncbi,1140,Lycaenidae,Lepidoptera,Leptotes,
387,ncbi,2046,Syrphidae,Diptera,Syrphid,
389,ncbi,1635,Nymphalidae,Lepidoptera,Phalantha,
398,ncbi,100,Scraptiidae,Coleoptera,Anaspis,
401,ncbi,1539,Nymphalidae,Lepidoptera,Pandoriana,Argynnis
407,ncbi,605,Muscidae,Diptera,Dasyphora,
409,ncbi,1367,Syrphidae,Diptera,Myotropa,Myathropa
417,ncbi,194,Lygaeidae ,Hemiptera,Aspilocoryphus,
421,ncbi,654,NA,Diptera,Diptera,
423,ncbi,16,Notodontidae,Lepidoptera,Actea,
426,ncbi,1010,Coreidae,Hemiptera,Homoecerus,
432,ncbi,1495,Chironomidae,Diptera,Orthocladiinae,
433,ncbi,1718,Muscidae,Diptera,Pogonomyoides,
434,ncbi,1847,Empididae,Diptera,Ramphomyia,
437,ncbi,275,Calliphoridae,Diptera,Boreellus,
438,ncbi,815,Muscidae,Diptera,Eupogonomyia,
440,ncbi,1107,Noctuidae,Lepidoptera,Lasiestra,
441,ncbi,1593,Anthomyiidae,Diptera,Pegomyia,
442,ncbi,1599,Tachinidae,Diptera,Peleteriopsis,Peleteria
443,ncbi,1627,Tachinidae,Diptera,Petinarctia,
446,ncbi,557,Noctuidae,Lepidoptera,Crymodes,Apamea
447,ncbi,696,Chironomidae,Diptera,Einfieldia,
449,ncbi,933,NA,NA,Gynometriocnemus,NA
450,ncbi,1087,Isotomidae,Collembola,Isotoma,
452,ncbi,1497,Chironomidae,Diptera,Orthocladus,Orthocladius
453,ncbi,1632,NA,NA,Phaladrodira,NA
456,ncbi,1873,Curculionidae,Coleoptera,Rhyncaenus,
458,ncbi,2038,Noctuidae,Lepidoptera,Sympistris,Sympistis
461,ncbi,1297,Syrphidae,Diptera,Metasyrphus,
464,ncbi,1713,Tenebrionidae,Coleoptera,Podonta,
465,ncbi,739,Scarabaeidae,Coleoptera,Epicometis,Tropinota
470,ncbi,2174,Bombyliidae,Diptera,Usia,
474,ncbi,1439,NA,NA,Ocinimorpha,NA
477,ncbi,415,Megachilidae,Hymenoptera,Chalicodoma,
479,ncbi,1296,Megachilidae,Hymenoptera,Metallinella,
481,ncbi,2084,Apidae,Hymenoptera,Tetralonia,
493,ncbi,596,Melyridae,Coleoptera,Danacaea,
495,ncbi,84,Bombyliidae,Diptera,Amictus,
496,ncbi,88,Sphecidae,Hymenoptera,Ammophila,
499,ncbi,548,Megachilidae,Hymenoptera,Creightonella,Megachile
500,ncbi,571,Tenthredinidae,Hymenoptera,Cuneala,
504,ncbi,2143,Scoliidae,Hymenoptera,Trielis,
505,ncbi,140,Megachilidae,Hymenoptera,Anthocopa,
513,ncbi,1628,Bombyliidae,Diptera,Petrorossia,
518,ncbi,1479,Tephritidae,Diptera,Orellia,
519,ncbi,1585,Vespidae,Hymenoptera,Parontodynerus,
530,ncbi,1355,Syrphidae,Diptera,Myathropa,
534,ncbi,1576,Vespidae,Hymenoptera,Paravespula,
535,ncbi,1661,Bombyliidae,Diptera,Phthiria,
537,ncbi,1775,Apidae,Hymenoptera,Proxylocopa,
541,ncbi,1975,NA,NA,Spermatophagus,NA
542,ncbi,2073,Tenthredinidae,Hymenoptera,Tehthredo,Tenthredo
543,ncbi,2110,Bombyliidae,Diptera,Thyridanthrax,
545,ncbi,19,Tephritidae,Diptera,Actinoptera,
546,ncbi,76,NA,NA,Amasis,NA
550,ncbi,246,Crabronidae,Hymenoptera,Bembicinus,
559,ncbi,716,Anthomyiidae,Diptera,Enneastigma,
560,ncbi,808,Apidae,Hymenoptera,Eupavlovskia,Melecta
568,ncbi,1420,Lycaenidae,Lepidoptera,Nordmannia,
569,ncbi,1458,Bombyliidae,Diptera,Oligodranes,
572,ncbi,2008,Rhinophoridae,Diptera,Stevenia,
574,ncbi,2124,Bombyliidae,Diptera,Toxophora,
577,ncbi,69,Tachinidae,Diptera,Alophora,
580,ncbi,286,Vespidae,Hymenoptera,Brachyodynerus,
