"","ele","lng","lat","Network"
"1",74,3.296797,42.315336,"Bartomeus_etal_2008 BAT1CA"
"2",74,3.296797,42.315336,"Bartomeus_etal_2008 FRA1OP"
"3",74,3.296797,42.315336,"Bartomeus_etal_2008 MED1CA"
"4",74,3.296797,42.315336,"Bartomeus_etal_2008 MED3CA"
"5",74,3.296797,42.315336,"Bartomeus_etal_2008 MIQ1OP"
"6",74,3.296797,42.315336,"Bartomeus_etal_2008 SEL1OP"
"7",917,13.105,47.64917,"benadi_2014_1"
"8",957,12.89722,47.598,"benadi_2014_2"
"9",1352,12.93417,47.58194,"benadi_2014_3"
"10",799,13.03056,47.69056,"benadi_2014_4"
"11",544,13.14139,47.67528,"benadi_2014_5"
"12",852,12.94778,47.69694,"benadi_2014_6"
"13",2913,-106.9842,38.95139,"Caradonna 2014_2015"
"14",3342,99.63806,27.90139,"Fang Huang 2008"
"15",3342,99.63806,27.90139,"Fang Huang 2009"
"16",3342,99.63806,27.90139,"Fang Huang 2010"
"17",136,-31.134698,39.450242,"ilha das flores valerie"
"18",1914,-3.95,40.8333,"LaraRomero etal 2016"
"19",3363,-70.266668,-33.283334,"M_PL_001"
"20",3363,-70.266668,-33.283334,"M_PL_002"
"21",3363,-70.266668,-33.283334,"M_PL_003"
"22",107,-66.071245,46.553731,"M_PL_004"
"23",4241,-105.043821,38.841784,"M_PL_005"
"24",2,1.575532,52.762395,"M_PL_006"
"25",39,1.097873,52.413173,"M_PL_007"
"26",2011,-16.633333,28.216667,"M_PL_008"
"27",1009,18.5,68.35,"M_PL_009"
"28",261,-20.5,74.5,"M_PL_010"
"29",565,57.552152,-20.348404,"M_PL_011"
"30",1193,-17.248908,28.127842,"M_PL_012"
"31",1448,30.133333,-29.616667,"M_PL_013"
"32",250,-71.3,81.816667,"M_PL_014"
"33",118,23.635043,38.014466,"M_PL_015"
"34",30,-6.55,37.016667,"M_PL_016"
"35",9,-2.589902,51.574994,"M_PL_017"
"36",83,9.973652,56.238737,"M_PL_018"
"37",2121,148.266667,-36.45,"M_PL_019"
"38",250,-71.3,81.816667,"M_PL_020"
"39",735,135.75,35.333333,"M_PL_021"
"40",3289,-69.7,-34.166667,"M_PL_022"
"41",1900,-69.283333,-33,"M_PL_023"
"42",92,-114.966667,75,"M_PL_024"
"43",149,-79.001843,36.075391,"M_PL_025"
"44",1,-90.600747,-0.290164,"M_PL_026"
"45",745,171.566667,-42.95,"M_PL_027"
"46",964,171.78466,-43.02823,"M_PL_028"
"47",1685,171.720224,-43.099531,"M_PL_029"
"48",110,-67.416667,8.933333,"M_PL_030"
"49",1473,-61.716667,5.583333,"M_PL_031"
"50",224,-88.166667,40.133333,"M_PL_032"
"51",68,-75.5,45.4,"M_PL_033"
"52",84,-73.583333,-42,"M_PL_034"
"53",8,-76.191667,17.916667,"M_PL_035"
"54",885,-31.227222,39.466667,"M_PL_036"
"55",78,9.973652,56.248737,"M_PL_037"
"56",71,9.993652,56.238737,"M_PL_038"
"57",2490,-16.605556,28.268611,"M_PL_039"
"58",151,-77.645278,18.353889,"M_PL_040"
"59",115,-61.467222,15.518889,"M_PL_041"
"60",7,-90.977222,-0.949194,"M_PL_042"
"61",82,9.953652,56.238737,"M_PL_043"
"62",10,129.493741,28.377248,"M_PL_044"
"63",1,-52,71,"M_PL_045"
"64",55,10.233333,56.066667,"M_PL_046"
"65",75,9.266667,56.066667,"M_PL_047"
"66",54,9.1,56.1,"M_PL_048"
"67",37,10.216667,56.066667,"M_PL_049"
"68",2490,-16.605556,28.268611,"M_PL_050"
"69",139,-50.55,66.966667,"M_PL_052"
"70",499,131.5,33.4,"M_PL_053"
"71",62,135.783333,35.033333,"M_PL_054"
"72",21,136.083333,35.65,"M_PL_055"
"73",1475,138.383333,35.583333,"M_PL_056"
"74",330,135.866667,35.166667,"M_PL_057"
"75",358,57.443254,-20.452076,"M_PL_060_01"
"76",358,57.443254,-20.452076,"M_PL_060_02"
"77",358,57.443254,-20.452076,"M_PL_060_03"
"78",358,57.443254,-20.452076,"M_PL_060_04"
"79",358,57.443254,-20.452076,"M_PL_060_05"
"80",358,57.443254,-20.452076,"M_PL_060_06"
"81",358,57.443254,-20.452076,"M_PL_060_07"
"82",358,57.443254,-20.452076,"M_PL_060_08"
"83",358,57.443254,-20.452076,"M_PL_060_09"
"84",358,57.443254,-20.452076,"M_PL_060_10"
"85",358,57.443254,-20.452076,"M_PL_060_11"
"86",358,57.443254,-20.452076,"M_PL_060_12"
"87",358,57.443254,-20.452076,"M_PL_060_13"
"88",358,57.443254,-20.452076,"M_PL_060_14"
"89",358,57.443254,-20.452076,"M_PL_060_15"
"90",358,57.443254,-20.452076,"M_PL_060_16"
"91",358,57.443254,-20.452076,"M_PL_060_17"
"92",358,57.443254,-20.452076,"M_PL_060_18"
"93",358,57.443254,-20.452076,"M_PL_060_19"
"94",358,57.443254,-20.452076,"M_PL_060_20"
"95",358,57.443254,-20.452076,"M_PL_060_21"
"96",358,57.443254,-20.452076,"M_PL_060_22"
"97",358,57.443254,-20.452076,"M_PL_060_23"
"98",358,57.443254,-20.452076,"M_PL_060_24"
"99",303,55.43333,-4.666667,"M_PL_061_01"
"100",303,55.43333,-4.666667,"M_PL_061_02"
"101",303,55.43333,-4.666667,"M_PL_061_03"
"102",303,55.43333,-4.666667,"M_PL_061_04"
"103",303,55.43333,-4.666667,"M_PL_061_05"
"104",303,55.43333,-4.666667,"M_PL_061_06"
"105",303,55.43333,-4.666667,"M_PL_061_07"
"106",303,55.43333,-4.666667,"M_PL_061_08"
"107",303,55.43333,-4.666667,"M_PL_061_09"
"108",303,55.43333,-4.666667,"M_PL_061_10"
"109",303,55.43333,-4.666667,"M_PL_061_11"
"110",303,55.43333,-4.666667,"M_PL_061_12"
"111",303,55.43333,-4.666667,"M_PL_061_13"
"112",303,55.43333,-4.666667,"M_PL_061_14"
"113",303,55.43333,-4.666667,"M_PL_061_15"
"114",303,55.43333,-4.666667,"M_PL_061_16"
"115",303,55.43333,-4.666667,"M_PL_061_17"
"116",303,55.43333,-4.666667,"M_PL_061_18"
"117",303,55.43333,-4.666667,"M_PL_061_19"
"118",303,55.43333,-4.666667,"M_PL_061_20"
"119",303,55.43333,-4.666667,"M_PL_061_21"
"120",303,55.43333,-4.666667,"M_PL_061_22"
"121",303,55.43333,-4.666667,"M_PL_061_23"
"122",303,55.43333,-4.666667,"M_PL_061_24"
"123",303,55.43333,-4.666667,"M_PL_061_25"
"124",303,55.43333,-4.666667,"M_PL_061_26"
"125",303,55.43333,-4.666667,"M_PL_061_27"
"126",303,55.43333,-4.666667,"M_PL_061_28"
"127",303,55.43333,-4.666667,"M_PL_061_29"
"128",303,55.43333,-4.666667,"M_PL_061_30"
"129",303,55.43333,-4.666667,"M_PL_061_31"
"130",303,55.43333,-4.666667,"M_PL_061_32"
"131",303,55.43333,-4.666667,"M_PL_061_33"
"132",303,55.43333,-4.666667,"M_PL_061_34"
"133",303,55.43333,-4.666667,"M_PL_061_35"
"134",303,55.43333,-4.666667,"M_PL_061_36"
"135",303,55.43333,-4.666667,"M_PL_061_37"
"136",303,55.43333,-4.666667,"M_PL_061_38"
"137",303,55.43333,-4.666667,"M_PL_061_39"
"138",303,55.43333,-4.666667,"M_PL_061_40"
"139",303,55.43333,-4.666667,"M_PL_061_41"
"140",303,55.43333,-4.666667,"M_PL_061_42"
"141",303,55.43333,-4.666667,"M_PL_061_43"
"142",303,55.43333,-4.666667,"M_PL_061_44"
"143",303,55.43333,-4.666667,"M_PL_061_45"
"144",303,55.43333,-4.666667,"M_PL_061_46"
"145",303,55.43333,-4.666667,"M_PL_061_47"
"146",303,55.43333,-4.666667,"M_PL_061_48"
"147",189,-89.8968771,39.278958,"M_PL_062"
"148",147,57.43,-20.25,"mauritius valerie"
"149",68,-123.6311111,48.8083333,"Parachnowitsch Elle"
"150",173,174.4589,-36.9264,"Probert_Anawhata"
"151",49,174.4823,-36.9866,"Probert_Karekare"
"152",7,174.5068,-37.0402,"Probert_Whatipu"
"153",31,-75.804512,78.875223,"Robinson etal 2018"
"154",239,-39.766667,-12.7,"Santos etal 2010"
"155",11,-158.278615,21.574281,"Shay etal 2016"
"156",1713,100.385368,50.436774,"Song 2015"
"157",67,-91.012863,-0.6907,"Traveset 2013"
"158",666,13.8919,28.5643,"Trojelsgaard Fuerteventura 1"
"159",666,13.8919,28.5643,"Trojelsgaard Fuerteventura 2"
"160",443,17.2267,28.0398,"Trojelsgaard Gomera 1"
"161",443,17.2267,28.0398,"Trojelsgaard Gomera 2"
"162",457,15.4331,27.9041,"Trojelsgaard GranCanaria 1"
"163",457,15.4331,27.9041,"Trojelsgaard GranCanaria 2"
"164",449,17.8959,27.8047,"Trojelsgaard Hierro 1"
"165",449,17.8959,27.8047,"Trojelsgaard Hierro 2"
"166",518,16.4173,28.2222,"Trojelsgaard TenerifeSouth 1"
"167",518,16.4173,28.2222,"Trojelsgaard TenerifeSouth 2"
"168",389,16.9123,28.3531,"Trojelsgaard TenerifeTENO 1"
"169",389,16.9123,28.3531,"Trojelsgaard TenerifeTENO 2"
"170",460,14.4222,26.161,"Trojelsgaard WesternSahara 1"
"171",460,14.4222,26.161,"Trojelsgaard WesternSahara 2"
"172",69,174.51861,-36.886333,"VanNoort_AitP"
"173",231,174.47333,-36.858694,"VanNoort_Matuku"
"174",1004,-71.498965,-41.011859,"VS Llao Llao"
"175",1004,-71.498965,-41.011859,"VS Mascardi_nc"
"176",1004,-71.498965,-41.011859,"VS Quetrihue_nc"
"177",1004,-71.498965,-41.011859,"VS Safariland"
