family,order
Rosaceae,Rosales
Fabaceae,Fabales
Berberidaceae,Ranunculales
Apiaceae,Apiales
Montiaceae,Caryophyllales
Caryophyllaceae,Caryophyllales
Asteraceae,Asterales
Geraniaceae,Geraniales
Euphorbiaceae,Malpighiales
Amaryllidaceae,Asparagales
Oxalidaceae,Oxalidales
Hydrophyllaceae,Boraginales
Schoepfiaceae,Santalales
Iridaceae,Asparagales
Lamiaceae,Lamiales
Caprifoliaceae,Dipsacales
Calceolariaceae,Lamiales
Onagraceae,Myrtales
Loasaceae,Cornales
Solanaceae,Solanales
Tropaeolaceae,Brassicales
Verbenaceae,Lamiales
Ranunculaceae,Ranunculales
Brassicaceae,Brassicales
Francoaceae,Geraniales
Alstroemeriaceae,Liliales
Boraginaceae,Boraginales
Polemoniaceae,Ericales
Passifloraceae,Malpighiales
Cactaceae,Caryophyllales
Rhamnaceae,Rosales
Violaceae,Malpighiales
Rubiaceae,Gentianales
Malvaceae,Malvales
Araliaceae,Apiales
Orchidaceae,Asparagales
Asparagaceae,Asparagales
Ericaceae,Ericales
Cornaceae,Cornales
Liliaceae,Liliales
Melanthiaceae,Liliales
Primulaceae,Ericales
Hydrangeaceae,Cornales
Campanulaceae,Asterales
Cleomaceae,Brassicales
Gentianaceae,Gentianales
Orobanchaceae,Lamiales
Plantaginaceae,Lamiales
Crassulaceae,Saxifragales
Papaveraceae,Ranunculales
Apocynaceae,Gentianales
Commelinaceae,Commelinales
Polygonaceae,Caryophyllales
Chloropidae,Diptera
Adoxaceae,Dipsacales
Scrophulariaceae,NA
Lentibulariaceae,Lamiales
Saxifragaceae,Saxifragales
Diapensiaceae,Ericales
Celastraceae,Celastrales
Salicaceae,Malpighiales
Plumbaginaceae,Caryophyllales
Convolvulaceae,Solanales
Lythraceae,Myrtales
Goodeniaceae,Asterales
Surianaceae,Fabales
Lauraceae,Laurales
Cistaceae,Malvales
Aquifoliaceae,Aquifoliales
Oleaceae,Lamiales
Hypericaceae,Malpighiales
Cucurbitaceae,Cucurbitales
Hyacinthaceae,Asparagales
Thymelaeaceae,Malvales
Heliotropiaceae,Boraginales
Santalaceae,NA
Resedaceae,Brassicales
Acanthaceae,Lamiales
Asphodelaceae,Asparagales
Capparaceae,Brassicales
Rutaceae,Sapindales
Linaceae,Malpighiales
Araceae,Alismatales
Myrtaceae,Myrtales
Arecaceae,Arecales
Juncaceae,Poales
Proteaceae,Proteales
Portulacaceae,Caryophyllales
Stylidiaceae,Asterales
Fagaceae,Fagales
Anacardiaceae,Sapindales
Colchicaceae,Liliales
Balsaminaceae,Ericales
Styracaceae,Ericales
Sapindaceae,Sapindales
Stachyuraceae,Crossosomatales
Symplocaceae,Ericales
Vitaceae,Vitales
Magnoliaceae,Magnoliales
Garryaceae,Garryales
Zygophyllaceae,Zygophyllales
Phrymaceae,Lamiales
Polygalaceae,Fabales
Burseraceae,Sapindales
Cannaceae,Zingiberales
Simaroubaceae,Sapindales
Nyctaginaceae,Caryophyllales
Cordiaceae,Boraginales
Melastomataceae,Myrtales
Aizoaceae,Caryophyllales
Poaceae,Poales
Caricaceae,Brassicales
Argophyllaceae,Asterales
Unresolved,NA
Eriocaulaceae,Poales
Xyridaceae,Poales
Alismataceae,Alismatales
Ochnaceae,Malpighiales
Heliconiaceae,Zingiberales
Gesneriaceae,Lamiales
Marantaceae,Zingiberales
Bonnetiaceae,Malpighiales
Clusiaceae,Malpighiales
Bignoniaceae,Lamiales
Sarraceniaceae,Ericales
Humiriaceae,Malpighiales
Loranthaceae,Santalales
Rapateaceae,Poales
Pentaphylacaceae,Ericales
Bromeliaceae,Poales
Cyrillaceae,Ericales
Cunoniaceae,Oxalidales
Amaranthaceae,Caryophyllales
Ehretiaceae,Boraginales
Combretaceae,Myrtales
Malpighiaceae,Malpighiales
Petiveriaceae,Caryophyllales
Urticaceae,Rosales
Loganiaceae,Gentianales
Meliaceae,Sapindales
Theaceae,Ericales
Elaeocarpaceae,Oxalidales
Phyllanthaceae,Malpighiales
Ebenaceae,Ericales
Rhizophoraceae,Malpighiales
Sabiaceae,Proteales
Actinidiaceae,Ericales
Cannabaceae,Rosales
Pittosporaceae,Apiales
Staphyleaceae,Crossosomatales
Piperaceae,Piperales
Musaceae,Zingiberales
Zingiberaceae,Zingiberales
Cyperaceae,Poales
Lecythidaceae,Ericales
Lardizabalaceae,Ranunculales
Chenopodiaceae,Caryophyllales
Pandanaceae,Pandanales
Stemonaceae,Pandanales
Pinaceae,Pinales
Grossulariaceae,Saxifragales
Tofieldiaceae,Alismatales
Clethraceae,Ericales
Nartheciaceae,Dioscoreales
Dioscoreaceae,Dioscoreales
Elaeagnaceae,Rosales
Basellaceae,Caryophyllales
Iteaceae,Saxifragales
Ulmaceae,Rosales
Phytolaccaceae,Caryophyllales
Saururaceae,Piperales
Pontederiaceae,Commelinales
Linderniaceae,Lamiales
Hydrocharitaceae,Alismatales
Nymphaeaceae,Nymphaeales
Typhaceae,Poales
Eupteleaceae,Ranunculales
Paeoniaceae,Saxifragales
Aphloiaceae,Crossosomatales
Calophyllaceae,Malpighiales
Erythroxylaceae,Malpighiales
Flagellariaceae,Poales
Chrysobalanaceae,Malpighiales
Sapotaceae,Ericales
Rousseaceae,Asterales
Achariaceae,Malpighiales
Annonaceae,Magnoliales
Dilleniaceae,Dilleniales
Nepenthaceae,Caryophyllales
Comandraceae,Santalales
Hypoxidaceae,Asparagales
Eulophidae,Hymenoptera
Martyniaceae,Lamiales
Nelumbonaceae,Proteales
Hyriidae,Unionoida
Molluginaceae,Caryophyllales
Aristolochiaceae,Piperales
Columelliaceae,Bruniales
Costaceae,Zingiberales
Frankeniaceae,Caryophyllales
NA,NA
Menyanthaceae,Asterales
Moraceae,Rosales