"","PGenus","family"
"1","Acaena","Rosaceae"
"2","Adesmia","Fabaceae"
"6","Berberis","Berberidaceae"
"7","Bowlesia","Apiaceae"
"8","Calandrinia","Montiaceae"
"10","Cerastium","Caryophyllaceae"
"11","Chaetanthera","Asteraceae"
"13","Chuquiraga","Asteraceae"
"14","Erodium","Geraniaceae"
"15","Euphorbia","Euphorbiaceae"
"16","Haplopappus","Asteraceae"
"18","Hypochoeris","Asteraceae"
"19","Leuceria","Asteraceae"
"20","Leucocoryne","Amaryllidaceae"
"21","Mulinum","Apiaceae"
"22","Mustisia","Asteraceae"
"23","Oxalis","Oxalidaceae"
"24","Phacelia","Hydrophyllaceae"
"25","Quinchamalium","Schoepfiaceae"
"26","Rhodophiala","Amaryllidaceae"
"27","Sanicula","Apiaceae"
"28","Senecio","Asteraceae"
"30","Sisyrinchium","Iridaceae"
"31","Stachys","Lamiaceae"
"32","Tetraglochin","Rosaceae"
"33","Tristagma","Amaryllidaceae"
"34","Valeriana","Caprifoliaceae"
"35","Astragalus","Fabaceae"
"38","Calceolaria","Calceolariaceae"
"40","Clarkia","Onagraceae"
"42","Loasa","Loasaceae"
"43","Lupinus","Fabaceae"
"47","Perezia","Asteraceae"
"49","Salpiglossus","Solanaceae"
"52","Solanum","Solanaceae"
"53","Solenomelus","Iridaceae"
"54","Tropaeolum","Tropaeolaceae"
"56","Verbena","Verbenaceae"
"58","Asteriscium","Apiaceae"
"59","Barneoudia","Ranunculaceae"
"64","Cardamine","Brassicaceae"
"69","Nardophyllum","Asteraceae"
"77","Viviania","Francoaceae"
"86","Schizanthus","Solanaceae"
"87","Scypanthus","Loasaceae"
"96","Anarthrophyllum","Fabaceae"
"99","Lathyrus","Fabaceae"
"100","Madia","Asteraceae"
"106","Alstroemeria","Alstroemeriaceae"
"109","Cynoglossum","Boraginaceae"
"169","Nassauvia","Asteraceae"
"246","Oenothera","Onagraceae"
"258","Nothoscordum","Amaryllidaceae"
"263","Lepidium","Brassicaceae"
"276","Collomia","Polemoniaceae"
"285","Malesherbia","Passifloraceae"
"336","Trichocereus","Cactaceae"
"353","Hippeastrum","Amaryllidaceae"
"369","Mutisia","Asteraceae"
"405","Azorella","Apiaceae"
"407","Discaria","Rhamnaceae"
"408","Laretia","Apiaceae"
"443","Werneria","Asteraceae"
"453","Ranunculus","Ranunculaceae"
"457","Stenodraba","Brassicaceae"
"494","Viola","Violaceae"
"507","Erigeron","Asteraceae"
"561","Draba","Brassicaceae"
"569","Caiophora","Loasaceae"
"576","Oreopolus","Rubiaceae"
"582","Junellia","Verbenaceae"
"584","Nototriche","Malvaceae"
"606","Pozoa","Apiaceae"
"639","Aralia","Araliaceae"
"640","Cypripedium","Orchidaceae"
"641","Linnaea","Caprifoliaceae"
"642","Maianthemum","Asparagaceae"
"644","Chimaphila","Ericaceae"
"645","Cornus","Cornaceae"
"646","Clintonia","Liliaceae"
"655","Pyrola","Ericaceae"
"656","Trillium","Melanthiaceae"
"695","Trientalis","Primulaceae"
"774","Medeola","Liliaceae"
"806","Jamesia","Hydrangeaceae"
"807","Prunus","Rosaceae"
"808","Aconitum","Ranunculaceae"
"809","Allium","Amaryllidaceae"
"810","Arctostaphylus","Ericaceae"
"811","Aster","Asteraceae"
"813","Calochortus","Liliaceae"
"814","Campanula","Campanulaceae"
"815","Carduus","Asteraceae"
"816","Chamaenerium","Onagraceae"
"817","Chrysopsis","Asteraceae"
"818","Cleome","Cleomaceae"
"819","Delphinium","Ranunculaceae"
"820","Dodecatheon","Primulaceae"
"821","Drymocallis","Rosaceae"
"823","Fragaria","Rosaceae"
"824","Frasera","Gentianaceae"
"825","Geranium","Geraniaceae"
"826","Holodiscus","Rosaceae"
"829","Mertensia","Boraginaceae"
"830","Opulaster","Rosaceae"
"831","Pedicularis","Orobanchaceae"
"832","Penstemon","Plantaginaceae"
"833","Pentstemon","Plantaginaceae"
"836","Petalostemon","Fabaceae"
"838","Rosa","Rosaceae"
"839","Rubus","Rosaceae"
"841","Rydbergia","Asteraceae"
"842","Sedum","Crassulaceae"
"843","Sieversia","Rosaceae"
"844","Solidago","Asteraceae"
"847","Aquilegia","Ranunculaceae"
"849","Capnoides","Papaveraceae"
"851","Castilleia","Orobanchaceae"
"854","Erysimum","Brassicaceae"
"857","Heracleum","Apiaceae"
"860","Linaria","Plantaginaceae"
"861","Mentzelia","Loasaceae"
"863","Monarda","Lamiaceae"
"870","Potentilla","Rosaceae"
"889","Helianthus","Asteraceae"
"904","Stanleya","Brassicaceae"
"905","Thermopsis","Fabaceae"
"906","Trifolium","Fabaceae"
"916","Gentiana","Gentianaceae"
"922","Onagra","Onagraceae"
"935","Asclepias","Apocynaceae"
"953","Taraxacum","Asteraceae"
"954","Thalictrum","Ranunculaceae"
"955","Tradescantia","Commelinaceae"
"961","Elephantella","Orobanchaceae"
"982","Gilia","Polemoniaceae"
"998","Dasyphora","Rosaceae"
"1016","Ibidium","Orchidaceae"
"1054","Apocynum","Apocynaceae"
"1090","Scutellaria","Lamiaceae"
"1116","Aragalus","Fabaceae"
"1119","Lithospermum","Boraginaceae"
"1130","Physaria","Brassicaceae"
"1266","Lappula","Boraginaceae"
"1294","Iris","Iridaceae"
"1329","Achillea","Asteraceae"
"1330","Polygonum","Polygonaceae"
"1339","Caltha","Ranunculaceae"
"1343","Malvastrum","Malvaceae"
"1451","Oreochrysum","Asteraceae"
"1484","Silene","Caryophyllaceae"
"1488","Galium","Rubiaceae"
"1528","Pachylophus","Chloropidae"
"1595","Clementsia","Crassulaceae"
"1606","Geum","Rosaceae"
"1656","Sambucus","Adoxaceae"
"1729","Leucanthemum","Asteraceae"
"1730","Lotus","Fabaceae"
"1735","Vicia","Fabaceae"
"1742","Prunella","Lamiaceae"
"1749","Centaurea","Asteraceae"
"1775","Lychnis","Caryophyllaceae"
"1785","Cirsium","Asteraceae"
"1821","Plantago","Plantaginaceae"
"1876","Filipendula","Rosaceae"
"1881","Primula","Primulaceae"
"1887","Orchis","Orchidaceae"
"1960","Echium","Boraginaceae"
"1961","Mentha","Lamiaceae"
"1962","Pimpinella","Apiaceae"
"1963","Pterocephalus","Caprifoliaceae"
"1964","Tolpis","Asteraceae"
"1965","Argyranthemum","Asteraceae"
"1970","Spartocytisus","Fabaceae"
"1973","Nepeta","Lamiaceae"
"1981","Scrophularia","Scrophulariaceae"
"1989","Adenocarpus","Fabaceae"
"2067","Dryas","Rosaceae"
"2068","Pinguicula","Lentibulariaceae"
"2071","Rhodiola","Crassulaceae"
"2072","Rhododendron","Ericaceae"
"2073","Saxifraga","Saxifragaceae"
"2075","Trollius","Ranunculaceae"
"2076","Arabis","Brassicaceae"
"2078","Diapensia","Diapensiaceae"
"2080","Parnassia","Celastraceae"
"2094","Cassiope","Ericaceae"
"2099","Salix","Salicaceae"
"2103","Antennaria","Asteraceae"
"2203","Bartsia","Orobanchaceae"
"2308","Arenaria","Caryophyllaceae"
"2309","Armeria","Plumbaginaceae"
"2310","Arnica","Asteraceae"
"2315","Melandrium","Caryophyllaceae"
"2316","Papaver","Papaveraceae"
"2326","Vaccinium","Ericaceae"
"2356","Cochlearia","Brassicaceae"
"2368","Stellaria","Caryophyllaceae"
"2391","Epilobium","Onagraceae"
"2392","Lesquerella","Brassicaceae"
"2764","Gastonia","Araliaceae"
"2765","Hibiscus","Malvaceae"
"2766","Ipomoea","Convolvulaceae"
"2767","Leucaena","Fabaceae"
"2768","Morinda","Rubiaceae"
"2769","Passiflora","Passifloraceae"
"2770","Pemphis","Lythraceae"
"2771","Scaevola","Goodeniaceae"
"2772","Stachytapheta","Verbenaceae"
"2773","Thespesia","Malvaceae"
"2774","Tourneortia","Boraginaceae"
"2775","Turnera","Passifloraceae"
"2776","Dracaena","Asparagaceae"
"2796","Suriana","Surianaceae"
"2816","Ageretina","Asteraceae"
"2817","Anacyclus","Asteraceae"
"2818","Andryala","Asteraceae"
"2819","Galactites","Asteraceae"
"2820","Laurus","Lauraceae"
"2823","Cedronella","Lamiaceae"
"2825","Erica","Ericaceae"
"2838","Leontodon","Asteraceae"
"2839","Raphanus","Brassicaceae"
"2863","Cistus","Cistaceae"
"2867","Ilex","Aquifoliaceae"
"2870","Picconia","Oleaceae"
"2872","Rhamnus","Rhamnaceae"
"2874","Sonchus","Asteraceae"
"2877","Aichryson","Crassulaceae"
"2879","Appolonias","Lauraceae"
"2885","Hypericum","Hypericaceae"
"2904","Psoralia","Fabaceae"
"2961","Aspidonepsis","Apocynaceae"
"2962","Sisyranthus","Apocynaceae"
"2963","Xysmalobium","Apocynaceae"
"2965","Miraglossum","Apocynaceae"
"2966","Pachycarpus","Apocynaceae"
"3138","Braya","Brassicaceae"
"3243","Chamomilla","Asteraceae"
"3244","Chrysanthemum","Asteraceae"
"3247","Crocus","Iridaceae"
"3248","Ecballium","Cucurbitaceae"
"3250","Fumana","Cistaceae"
"3251","Gagea","Liliaceae"
"3252","Hirschfeldia","Brassicaceae"
"3254","Muscari","Hyacinthaceae"
"3255","Phagnalon","Asteraceae"
"3256","Scabiosa","Caprifoliaceae"
"3257","Scandix","Apiaceae"
"3258","Scilla","Hyacinthaceae"
"3259","Scorzonera","Asteraceae"
"3261","Sisymbrium","Brassicaceae"
"3262","Sternbergia","Amaryllidaceae"
"3264","Thymelaea","Thymelaeaceae"
"3265","Asparagus","Asparagaceae"
"3266","Convolvulus","Convolvulaceae"
"3270","Cyclamen","Primulaceae"
"3271","Dittrichia","Asteraceae"
"3276","Helichrysum","Asteraceae"
"3277","Heliotropium","Heliotropiaceae"
"3282","Osyris","Santalaceae"
"3283","Reseda","Resedaceae"
"3287","Thapsia","Apiaceae"
"3288","Thymus","Lamiaceae"
"3289","Tordylium","Apiaceae"
"3290","Verbascum","Scrophulariaceae"
"3291","Acanthus","Acanthaceae"
"3292","Alcea","Malvaceae"
"3293","Alkanna","Boraginaceae"
"3296","Anchusa","Boraginaceae"
"3298","Anemone","Ranunculaceae"
"3300","Anthyllis","Fabaceae"
"3302","Asphodelus","Asphodelaceae"
"3304","Ballota","Lamiaceae"
"3305","Biscutella","Brassicaceae"
"3306","Calendula","Asteraceae"
"3307","Capparis","Capparaceae"
"3308","Cardaria","Brassicaceae"
"3312","Chondrilla","Asteraceae"
"3324","Echinops","Asteraceae"
"3329","Eruca","Brassicaceae"
"3331","Fritillaria","Liliaceae"
"3336","Globularia","Plantaginaceae"
"3342","Hymenocarpus","Fabaceae"
"3347","Lamium","Lamiaceae"
"3349","Malcolmia","Brassicaceae"
"3350","Malva","Malvaceae"
"3351","Medicago","Fabaceae"
"3355","Ononis","Fabaceae"
"3356","Ornithogalum","Hyacinthaceae"
"3359","Petrorhagia","Caryophyllaceae"
"3361","Phlomis","Lamiaceae"
"3363","Prasium","Lamiaceae"
"3366","Reichardia","Asteraceae"
"3368","Salvia","Lamiaceae"
"3370","Sarcopoterium","Rosaceae"
"3371","Satureja","Lamiaceae"
"3378","Sherardia","Rubiaceae"
"3384","Teucrium","Lamiaceae"
"3389","Tremastelma","Caprifoliaceae"
"3392","Urginea","Hyacinthaceae"
"3394","Veronica","Plantaginaceae"
"3399","Bellis","Asteraceae"
"3422","Eryngium","Apiaceae"
"3442","Capsella","Brassicaceae"
"3477","Scaligeria","Apiaceae"
"3497","Bellardia","Orobanchaceae"
"3501","Crupina","Asteraceae"
"3514","Anagallis","Primulaceae"
"3581","Scolymus","Asteraceae"
"3636","Ebenus","Fabaceae"
"3685","Psoralea","Fabaceae"
"3692","Tragopogon","Asteraceae"
"3734","Daucus","Apiaceae"
"3866","Ophrys","Orchidaceae"
"3985","Pallenis","Asteraceae"
"4017","Nigella","Ranunculaceae"
"4020","Ruta","Rutaceae"
"4306","Linum","Linaceae"
"4332","Fumaria","Papaveraceae"
"6099","Arisarum","Araceae"
"6177","Calluna","Ericaceae"
"6178","Daphne","Thymelaeaceae"
"6180","Halimium","Cistaceae"
"6181","Lavandula","Lamiaceae"
"6183","Rosmarinus","Lamiaceae"
"6185","Ulex","Fabaceae"
"6190","Cytisus","Fabaceae"
"6195","Phillyrea","Oleaceae"
"6198","Stauracanthus","Fabaceae"
"6205","Smilax","Brassicaceae"
"6210","Lonicera","Caprifoliaceae"
"6226","Myrtus","Myrtaceae"
"6294","Helianthemum","Cistaceae"
"6332","Chamaerops","Arecaceae"
"6590","Eupatorium","Asteraceae"
"6591","Knautia","Caprifoliaceae"
"6595","Angelica","Apiaceae"
"6603","Torilis","Apiaceae"
"6623","Chamerion","Onagraceae"
"6626","Aethusa","Apiaceae"
"6627","Agrimonia","Rosaceae"
"6629","Clematis","Ranunculaceae"
"6655","Crepis","Asteraceae"
"6706","Euphrasia","Orobanchaceae"
"6889","Tripleurospermum","Asteraceae"
"6890","Calystegia","Convolvulaceae"
"6895","Melilotus","Fabaceae"
"6896","Myosotis","Boraginaceae"
"6917","Tanacetum","Asteraceae"
"6940","Chaerophyllum","Apiaceae"
"6961","Aegopodium","Apiaceae"
"6963","Lapsana","Asteraceae"
"6984","Juncus","Juncaceae"
"7270","Craspedia","Asteraceae"
"7271","Pimelea","Thymelaeaceae"
"7274","Epacris","Ericaceae"
"7276","Kunzea","Myrtaceae"
"7277","Microseris","Asteraceae"
"7278","Orites","Proteaceae"
"7279","Oxylobium","Fabaceae"
"7280","Prostanthera","Lamiaceae"
"7281","Richea","Ericaceae"
"7283","Wahlenbergia","Campanulaceae"
"7284","Aciphylla","Apiaceae"
"7285","Baeckia","Myrtaceae"
"7286","Brachycome","Asteraceae"
"7288","Celmisia","Asteraceae"
"7291","Gentianella","Gentianaceae"
"7295","Leptorhynchos","Asteraceae"
"7296","Leucopogon","Ericaceae"
"7299","Phebalium","Rutaceae"
"7301","Prasophyllum","Orchidaceae"
"7346","Helipterum","Asteraceae"
"7365","Asperula","Rubiaceae"
"7371","Neopaxia","Portulacaceae"
"7372","Olearia","Asteraceae"
"7377","Stackhousia","Celastraceae"
"7433","Pentachondra","Ericaceae"
"7464","Stylidium","Stylidiaceae"
"7612","Ranumculus","Ranunculaceae"
"7724","Corydalis","Papaveraceae"
"7725","Castanea","Fagaceae"
"7726","Phellodendron","Rutaceae"
"7728","Hydrangea","Hydrangeaceae"
"7729","Rabdosia","Lamiaceae"
"7730","Rhus","Anacardiaceae"
"7731","Weigela","Caprifoliaceae"
"7732","Anthriscus","Apiaceae"
"7733","Cardiandra","Hydrangeaceae"
"7734","Euonymus","Celastraceae"
"7737","Persicaria","Polygonaceae"
"7744","Swida","Cornaceae"
"7745","Viburnum","Adoxaceae"
"7754","Ixeris","Asteraceae"
"7755","Adenocaulon","Asteraceae"
"7757","Antenoron","Polygonaceae"
"7764","Astilbe","Saxifragaceae"
"7766","Deutzia","Hydrangeaceae"
"7770","Lysimachia","Primulaceae"
"7773","Ainsliaea","Asteraceae"
"7774","Alangium","Cornaceae"
"7775","Caryopteris","Lamiaceae"
"7780","Disporum","Colchicaceae"
"7781","Hovenia","Rhamnaceae"
"7784","Impatiens","Balsaminaceae"
"7786","Lespedeza","Fabaceae"
"7787","Ligustrum","Oleaceae"
"7790","Polygonatum","Asparagaceae"
"7794","Styrax","Styracaceae"
"7795","Tricyrtis","Liliaceae"
"7797","Aesculus","Sapindaceae"
"7799","Cacalia","Asteraceae"
"7803","Clinopodium","Lamiaceae"
"7804","Commelina","Commelinaceae"
"7819","Spuriopimpinella","Apiaceae"
"7820","Tripterospermum","Gentianaceae"
"7825","Bistorta","Polygonaceae"
"7830","Kalimeris","Asteraceae"
"7838","Stenactis","Asteraceae"
"7860","Reynoutria","Polygonaceae"
"7862","Stachyurus","Stachyuraceae"
"7879","Siegesbeckia","Asteraceae"
"7881","Symplocos","Symplocaceae"
"7940","Benthamida","Cornaceae"
"7957","Aruncus","Rosaceae"
"7965","Ampelopsis","Vitaceae"
"8046","Epimedium","Berberidaceae"
"8051","Magnolia","Magnoliaceae"
"8076","Patrinia","Caprifoliaceae"
"8105","Acer","Sapindaceae"
"8159","Desmodium","Fabaceae"
"8168","Petasites","Asteraceae"
"8179","Aucuba","Garryaceae"
"8312","Carpesium","Asteraceae"
"8518","Cryptotaenia","Apiaceae"
"8923","Tarasa","Malvaceae"
"8925","Montiopsis","Montiaceae"
"8938","Jaborosa","Solanaceae"
"8947","Menonvillea","Brassicaceae"
"9001","Grindelia","Asteraceae"
"9003","Arjona","Schoepfiaceae"
"9008","Hysterionica","Asteraceae"
"9009","Larrea","Zygophyllaceae"
"9010","Rapistrum","Brassicaceae"
"9014","Thelesperma","Asteraceae"
"9015","Baccharis","Asteraceae"
"9023","Mimulus","Phrymaceae"
"9027","Opuntia","Cactaceae"
"9028","Pyrrhocactus","Cactaceae"
"9046","Lecanophora","Malvaceae"
"9056","Polygala","Polygalaceae"
"9138","Oxytropis","Fabaceae"
"9164","Claytonia","Montiaceae"
"9165","Erythronium","Liliaceae"
"9166","Hepatica","Ranunculaceae"
"9167","Sangiunaria","Papaveraceae"
"9170","Tiarella","Saxifragaceae"
"9193","Uvularia","Colchicaceae"
"9208","Podophyllum","Berberidaceae"
"9306","Abelmoschus","Malvaceae"
"9307","Abutilon","Malvaceae"
"9308","Acacia","Fabaceae"
"9310","Bacopa","Plantaginaceae"
"9311","Bastardia","Malvaceae"
"9312","Bidens","Asteraceae"
"9313","Brassica","Brassicaceae"
"9314","Bursera","Burseraceae"
"9315","Caesalpinia","Fabaceae"
"9316","Canna","Cannaceae"
"9317","Cardiospermum","Sapindaceae"
"9318","Cassia","Fabaceae"
"9320","Castela","Simaroubaceae"
"9321","Chicocca","Rubiaceae"
"9322","Clerodendrum","Lamiaceae"
"9325","Coffea","Rubiaceae"
"9326","Commicarpus","Nyctaginaceae"
"9327","Cordia","Cordiaceae"
"9329","Crotalaria","Fabaceae"
"9330","Cryptocarpus","Nyctaginaceae"
"9331","Cucurbita","Cucurbitaceae"
"9332","Cuphea","Lythraceae"
"9333","Darwiniothamnus","Asteraceae"
"9335","Galactea","Fabaceae"
"9336","Galvezia","Plantaginaceae"
"9338","Geoffroea","Fabaceae"
"9339","Gossypium","Malvaceae"
"9341","Inga","Fabaceae"
"9344","Justicia","Acanthaceae"
"9345","Lantana","Verbenaceae"
"9346","Lycopersicon","Solanaceae"
"9347","Macraea","Asteraceae"
"9350","Miconia","Melastomataceae"
"9351","Mirabilis","Nyctaginaceae"
"9352","Mormordica","Cucurbitaceae"
"9353","Nolana","Solanaceae"
"9357","Parkinsonia","Fabaceae"
"9359","Persea","Lauraceae"
"9360","Physalis","Solanaceae"
"9361","Piscidia","Fabaceae"
"9362","Plumbago","Plumbaginaceae"
"9363","Portulaca","Portulacaceae"
"9364","Prosopis","Fabaceae"
"9365","Psidium","Myrtaceae"
"9366","Psychotria","Rubiaceae"
"9367","Rhynchosia","Fabaceae"
"9368","Scalesia","Asteraceae"
"9372","Scaveola","Goodeniaceae"
"9373","Sesuvium","Aizoaceae"
"9374","Sida","Malvaceae"
"9380","Stachtarpheta","Verbenaceae"
"9381","Tetramerium","Acanthaceae"
"9382","Tribulus","Zygophyllaceae"
"9383","Vallesia","Apocynaceae"
"9384","Vigna","Fabaceae"
"9385","Waltheria","Malvaceae"
"9387","Bougainvillea","Nyctaginaceae"
"9390","Catharanthus","Apocynaceae"
"9392","Diodia","Rubiaceae"
"9399","Tournefortia","Heliotropiaceae"
"9404","Phyla","Verbenaceae"
"9412","Croton","Euphorbiaceae"
"9417","Ageratum","Asteraceae"
"9420","Jaegeria","Asteraceae"
"9431","Capsicum","Solanaceae"
"9436","Setaria","Poaceae"
"9438","Cacabus","Solanaceae"
"9439","Carica","Caricaceae"
"9467","Avicennia","Acanthaceae"
"9488","Encelia","Asteraceae"
"9510","Cassinia","Asteraceae"
"9515","Hoheria","Malvaceae"
"9516","Parahebe","Plantaginaceae"
"9521","Hebe","Plantaginaceae"
"9523","Pratia","Campanulaceae"
"9539","Ourisia","Plantaginaceae"
"9636","Leptospermum","Myrtaceae"
"9639","Corokia","Argophyllaceae"
"9645","Raoulia","Asteraceae"
"9658","Isotoma","Campanulaceae"
"9685","Muehlenbeckia","Polygonaceae"
"9703","Dracuphyllum","Ericaceae"
"9762","Brachyome","Asteraceae"
"9817","Carmichaelia","Fabaceae"
"9835","Marrubium","Lamiaceae"
"9873","Digitalis","Plantaginaceae"
"10005","Hieracium","Asteraceae"
"10016","Hypochaeris","Asteraceae"
"10021","Cotula","Asteraceae"
"10023","Dracophyllum","Ericaceae"
"10030","Anisotome","Apiaceae"
"10035","Drapetes","Thymelaeaceae"
"10042","Leucogenes","Asteraceae"
"10043","Phyllachne","Stylidiaceae"
"10049","Donatia","Stylidiaceae"
"10350","Besmoscelis","Unresolved"
"10352","Hyptis","Lamiaceae"
"10353","Ludwigia","Onagraceae"
"10354","Mimosa","Fabaceae"
"10355","Shultesia","Gentianaceae"
"10356","Synqonanthus","Eriocaulaceae"
"10357","Xyris","Xyridaceae"
"10363","Melochia","Malvaceae"
"10364","Pterolepis","Melastomataceae"
"10367","Saggitaria","Alismataceae"
"10368","Sauvagesia","Ochnaceae"
"10370","Tyttnera","Unresolved"
"10373","Caperonia","Euphorbiaceae"
"10380","Rhynchanthera","Melastomataceae"
"10381","Aeschynomene","Fabaceae"
"10407","Heliconia","Heliconiaceae"
"10408","Sinningia","Gesneriaceae"
"10436","Clidemia","Melastomataceae"
"10440","Montricharida","Araceae"
"10443","Thalia","Marantaceae"
"10459","Bonnetia","Bonnetiaceae"
"10460","Clusia","Clusiaceae"
"10462","Digomphia","Bignoniaceae"
"10463","Heliamphora","Sarraceniaceae"
"10464","Humiria","Humiriaceae"
"10465","Macairea","Melastomataceae"
"10466","Pagameopsis","Rubiaceae"
"10467","Phthirusa","Loranthaceae"
"10468","Poecilandra","Ochnaceae"
"10469","Siphanthera","Melastomataceae"
"10470","Stegolepsis","Rapateaceae"
"10471","Ternstroemia","Pentaphylacaceae"
"10473","Vernonia","Asteraceae"
"10474","Vismia","Hypericaceae"
"10476","Brocchinia","Bromeliaceae"
"10479","Calea","Asteraceae"
"10481","Galactophora","Apocynaceae"
"10484","Meriana","Convolvulaceae"
"10486","Tibouchina","Melastomataceae"
"10498","Sobralia","Orchidaceae"
"10501","Befaria","Ericaceae"
"10506","Epistephium","Orchidaceae"
"10510","Chromolanea","Asteraceae"
"10511","Epidendrum","Orchidaceae"
"10512","Eriopsis","Orchidaceae"
"10516","Tococa","Melastomataceae"
"10521","Mandevilla","Apocynaceae"
"10528","Notopora","Ericaceae"
"10529","Pogonia","Orchidaceae"
"10530","Remijia","Rubiaceae"
"10543","Cybianthus","Primulaceae"
"10544","Declieuxia","Rubiaceae"
"10551","Marcetia","Melastomataceae"
"10556","Sipanea","Rubiaceae"
"10557","Borreria","Rubiaceae"
"10562","Irlbachia","Gentianaceae"
"10571","Mikania","Asteraceae"
"10582","Catasetum","Orchidaceae"
"10584","Cyrilla","Cyrillaceae"
"10596","Philodendron","Araceae"
"10615","Isopyrum","Ranunculaceae"
"10617","Dentaria","Brassicaceae"
"10620","Dicentra","Papaveraceae"
"10623","Sanguinaria","Papaveraceae"
"10680","Gaylussacia","Ericaceae"
"10681","Ledum","Ericaceae"
"10683","Spiraea","Rosaceae"
"10685","Kalmia","Ericaceae"
"10687","Nemopanthus","Aquifoliaceae"
"10688","Smilacina","Asparagaceae"
"10690","Aronia","Rosaceae"
"10700","Chamaedaphne","Ericaceae"
"10712","Calopogon","Orchidaceae"
"10733","Andromeda","Ericaceae"
"10821","Amomyrtus","Myrtaceae"
"10823","Asteranthera","Gesneriaceae"
"10826","Caldcluvia","Cunoniaceae"
"10827","Eucryphia","Cunoniaceae"
"10828","Gaultheria","Ericaceae"
"10830","Luma","Myrtaceae"
"10831","Luzuriaga","Alstroemeriaceae"
"10833","Mitraria","Gesneriaceae"
"10834","Myrceugenia","Myrtaceae"
"10837","Ovidia","Thymelaeaceae"
"10838","Rhaphithamnus","Verbenaceae"
"10839","Tepualia","Myrtaceae"
"10840","Ugni","Myrtaceae"
"10842","Gevuina","Proteaceae"
"10848","Embothrium","Proteaceae"
"10871","Myrteola","Myrtaceae"
"11133","Alternanthera","Amaranthaceae"
"11135","Bauhinia","Fabaceae"
"11139","Capraria","Scrophulariaceae"
"11142","Ehretia","Ehretiaceae"
"11143","Evolvulus","Convolvulaceae"
"11148","Sarcostemma","Apocynaceae"
"11149","Spilanthes","Asteraceae"
"11150","Stachytarpheta","Verbenaceae"
"11153","Merremia","Convolvulaceae"
"11163","Argythamnia","Euphorbiaceae"
"11165","Blechum","Acanthaceae"
"11167","Bourreria","Ehretiaceae"
"11168","Broughtonia","Orchidaceae"
"11171","Cissus","Vitaceae"
"11172","Conocarpus","Combretaceae"
"11179","Guazuma","Malvaceae"
"11180","Indigofera","Fabaceae"
"11182","Jacquinia","Primulaceae"
"11184","Malpighia","Malpighiaceae"
"11188","Philoxerus","Amaranthaceae"
"11191","Urechites","Apocynaceae"
"11202","Lippia","Verbenaceae"
"11203","Momordica","Cucurbitaceae"
"11205","Rhabdadenia","Apocynaceae"
"11207","Stylosanthes","Fabaceae"
"11208","Thunbergia","Acanthaceae"
"11259","Ascleptas","Apocynaceae"
"11267","Byrsonia","Malpighiaceae"
"11297","Bunchosia","Malpighiaceae"
"11311","Azorina","Campanulaceae"
"11313","Reseada","Resedaceae"
"11321","Crithmum","Apiaceae"
"11325","Beta","Amaranthaceae"
"11329","Freesia","Iridaceae"
"11496","Plocama","Rubiaceae"
"11497","Sideritis","Lamiaceae"
"11499","Bituminaria","Fabaceae"
"11504","Fagonia","Zygophyllaceae"
"11514","Ceballosia","Heliotropiaceae"
"11621","Dendropanax","Araliaceae"
